Subject,Predicate,Object
ParaneoplasticAntigenMa2AssociatedEncephalitis,hasAssociatedAntigen,ParaneoplasticAntigenMa2                  
PurkinjeCellAntibody1AssociatedEncephalitis,hasAssociatedAntigen,PurkinjeCellAntibodyType1                  
VoltageGatedCalciumChannelTypeNAssociatedEncephalitis,hasAssociatedAntigen,N_TypeVoltageGatedCalciumChannel                  
VoltageGatedCalciumChannelTypePQAssociatedEncephalitis,hasAssociatedAntigen,P_Q_TypeVoltageGatedCalciumChannel                  
VoltageGatedPotassiumChannelAssociatedEncephalitis,hasAssociatedAntigen,VoltageGatedPotassiumChannel                  
?AminoButyricAcidAReceptorAssociatedEncephalitis,hasAssociatedAntigen,?AminoButyricAcidAReceptor                  
?AminoButyricAcidBReceptorAssociatedEncephalitis,hasAssociatedAntigen,?AminoButyricAcidBReceptor                  
AutosomalDominantNocturnalFrontalLobeEpilepsy,hasAssociatedDisorder,GeneralLearningDisability                  
DravetSyndrome,hasAssociatedDisorder,(AutismSpectrumDisorder or MentalRetardation)                
HypothalamicEpilepsy,hasAssociatedDisorder,(MentalRetardation or PrecociousPuberty)                
AnaplasticPleomorphicXanthoastrocytoma,hasAssociatedMutationIn,BRAF                  
AngiocentricGlioma,hasAssociatedMutationIn,MYB                  
Astroblastoma,hasAssociatedMutationIn,MN1                  
Astrocytoma,hasAssociatedMutationIn,(IDH1 or IDH2)                
Astrocytoma,hasAssociatedMutationIn,(WorldHealthOrganization_II or WorldHealthOrganization_III or WorldHealthOrganization_IV)              
AutosomalDominantNocturnalFrontalLobeEpilepsy,hasAssociatedMutationIn,(CHRNA2 or CHRNA4 or CHRNB2)              
AutosomalDominantPartialEpilepsyWithAuditoryFeatures,hasAssociatedMutationIn,LGI1                  
ChronicProgressiveEpilepsiaPartialisContinuaofChildhood,hasAssociatedMutationIn,(CCL22 or CCL23 or CCL5 or CXCL10 or CXCL9 or STXBP1)        
DiffuseAstrocytoma,hasAssociatedMutationIn,(MYB or MYBL1)                
DiffuseHighGradeGlioma,hasAssociatedMutationIn,(H3-3A or IDH1 or IDH2)              
DiffuseLowGradeGlioma,hasAssociatedMutationIn,FGFR                  
DiffuseMidlineGlioma,hasAssociatedMutationIn,H3-3A                  
DravetSyndrome,hasAssociatedMutationIn,SCN1A                  
DysembryoplasticNeuroepithelialTumor,hasAssociatedMutationIn,only FGFR                 
EpendymomaRELA-FusionPositive,hasAssociatedMutationIn,RELA                  
EpilepsyWithGeneralTonicClonicSeizureOnAwakening,hasAssociatedMutationIn,EFHC1                  
Ganglioglioma,hasAssociatedMutationIn,only BRAF                 
GeneralizedEpilepsyWithFebrileSeizuresPlus,hasAssociatedMutationIn,(GABRD or GABRG2 or SCN1A or SCN1B or SCN2A)          
GlioblastomaMultiforme,hasAssociatedMutationIn,(IDH1 or IDH2)                
HypothalamicEpilepsy,hasAssociatedMutationIn,GLI3                  
HypothalamicHamartoma,hasAssociatedMutationIn,GLI3                  
IsomorphicDiffuseGlioma,hasAssociatedMutationIn,MYBL1                  
JuvenileAbsenceEpilepsy,hasAssociatedMutationIn,CACNA1H                  
JuvenileMyoclonicEpilepsy,hasAssociatedMutationIn,(CACNB4 or CLCN2 or EFHC1 or GABRA1 or GABRD)          
MyxoidGlioneuronalTumor,hasAssociatedMutationIn,PDGFR                  
PapillaryGlioneuronalTumor,hasAssociatedMutationIn,PRKCA                  
PilocyticAstrocytoma,hasAssociatedMutationIn,(BRAF or KIAA1549)                
PolymorphousLow-gradeNeuroepithelialTumoroftheYoung,hasAssociatedMutationIn,(BRAF or FGFR)                
PrimaryReadingEpilepsy,hasAssociatedMutationIn,(CACNB4 or CLCN2 or EFHC1 or GABRA1 or GABRD)          
SubependymalGiantCellAstrocytoma,hasAssociatedMutationIn,(TSC1 or TSC2)                
GliosisWithoutHS,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA1Field)) or (ModerateAstrogliosis and (isLocatedAt only CA1Field)))
GliosisWithoutHS,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA2Field)) or (ModerateAstrogliosis and (isLocatedAt only CA2Field)))
GliosisWithoutHS,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA3Field)) or (ModerateAstrogliosis and (isLocatedAt only CA3Field)))
GliosisWithoutHS,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA4Field)) or (ModerateAstrogliosis and (isLocatedAt only CA4Field)))
GliosisWithoutHS,hasAstrogliosisValue,((Gliosis and (isLocatedAt only DentateGyrusHippocampus)) or (ModerateAstrogliosis and (isLocatedAt only DentateGyrusHippocampus)))
GliosisWithoutHS,hasAstrogliosisValue,((Gliosis and (isLocatedAt only Subiculum)) or (ModerateAstrogliosis and (isLocatedAt only Subiculum)))
HSType1,hasAstrogliosisValue,((FibrillaryAstrogliosis and (isLocatedAt only CA2Field)) or (Gliosis and (isLocatedAt only CA2Field)) or (ModerateAstrogliosis and (isLocatedAt only CA2Field)))
HSType1,hasAstrogliosisValue,((FibrillaryAstrogliosis and (isLocatedAt only CA3Field)) or (Gliosis and (isLocatedAt only CA3Field)) or (ModerateAstrogliosis and (isLocatedAt only CA3Field)))
HSType1,hasAstrogliosisValue,((FibrillaryAstrogliosis and (isLocatedAt only DentateGyrusHippocampus)) or (Gliosis and (isLocatedAt only DentateGyrusHippocampus))or(ModerateAstrogliosisand(isLocatedAtonlyDentateGyrusHippocampus)))
HSType1,hasAstrogliosisValue,((Gliosis and (isLocatedAt only Subiculum)) or (ModerateAstrogliosis and (isLocatedAt only Subiculum)))
HSType1,hasAstrogliosisValue,(FibrillaryAstrogliosis and (isLocatedAt only CA1Field))              
HSType1,hasAstrogliosisValue,(FibrillaryAstrogliosis and (isLocatedAt only CA4Field))              
HSType2,hasAstrogliosisValue,((FibrillaryAstrogliosis and (isLocatedAt only CA1Field)) or (ModerateAstrogliosis and (isLocatedAt only CA1Field)))
HSType2,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA2Field)) or (ModerateAstrogliosis and (isLocatedAt only CA2Field)))
HSType2,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA3Field)) or (ModerateAstrogliosis and (isLocatedAt only CA3Field)))
HSType2,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA4Field)) or (ModerateAstrogliosis and (isLocatedAt only CA4Field)))
HSType2,hasAstrogliosisValue,((Gliosis and (isLocatedAt only DentateGyrusHippocampus)) or (ModerateAstrogliosis and (isLocatedAt only DentateGyrusHippocampus)))
HSType2,hasAstrogliosisValue,((Gliosis and (isLocatedAt only Subiculum)) or (ModerateAstrogliosis and (isLocatedAt only Subiculum)))
HSType3,hasAstrogliosisValue,((FibrillaryAstrogliosis and (isLocatedAt only CA3Field)) or (Gliosis and (isLocatedAt only CA3Field)) or (ModerateAstrogliosis and (isLocatedAt only CA3Field)))
HSType3,hasAstrogliosisValue,((FibrillaryAstrogliosis and (isLocatedAt only CA4Field)) or (ModerateAstrogliosis and (isLocatedAt only CA4Field)))
HSType3,hasAstrogliosisValue,((FibrillaryAstrogliosis and (isLocatedAt only DentateGyrusHippocampus)) or (Gliosis and (isLocatedAt only DentateGyrusHippocampus))or(ModerateAstrogliosisand(isLocatedAtonlyDentateGyrusHippocampus)))
HSType3,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA1Field)) or (ModerateAstrogliosis and (isLocatedAt only CA1Field)))
HSType3,hasAstrogliosisValue,((Gliosis and (isLocatedAt only CA2Field)) or (ModerateAstrogliosis and (isLocatedAt only CA2Field)))
HSType3,hasAstrogliosisValue,((Gliosis and (isLocatedAt only Subiculum)) or (ModerateAstrogliosis and (isLocatedAt only Subiculum)))
Protein,hasBindingTo,VasoactiveIntestinalPeptideReceptor                  
ParoxysmalEvent,hasDuration,TemporalEntity                  
AutosomalDominantNocturnalFrontalLobeEpilepsy,hasEtiology,GeneticMutation                  
AutosomalDominantPartialEpilepsyWithAuditoryFeatures,hasEtiology,GeneticMutation                  
BenignChildhoodEpilepsyWithCentrotemporalSpikes,hasEtiology,GeneticDefect                  
ChildhoodAbsenceEpilepsy,hasEtiology,GeneticMutation                  
ChildhoodEpilepsyWithOccipitalParoxysms,hasEtiology,GeneticDefect                  
ChronicProgressiveEpilepsiaPartialisContinuaofChildhood,hasEtiology,(CorticalDevelopmentMalformation or GeneticDefect or MetabolicCause)              
DravetSyndrome,hasEtiology,GeneticMutation                  
EpilepsyWithGeneralTonicClonicSeizureOnAwakening,hasEtiology,GeneticDefect                  
FrontalLobeEpilepsy,hasEtiology,(BrainTumor or FocalCorticalDysplasia or VascularMalformation)              
GeneralizedEpilepsyWithFebrileSeizuresPlus,hasEtiology,(GeneticMutation or UnknownCause)                
HippocampalEpilepsy,hasEtiology,MesialTemporalSclerosis                  
HypothalamicEpilepsy,hasEtiology,HypothalamicHamartoma                  
InsularEpilepsy,hasEtiology,(DysembryoplasticNeuroepithelialTumor or Glioma)                
JuvenileAbsenceEpilepsy,hasEtiology,GeneticMutation                  
JuvenileMyoclonicEpilepsy,hasEtiology,GeneticMutation                  
LateralTemporalEpilepsy,hasEtiology,(DysembryoplasticNeuroepithelialTumor or FocalCorticalDysplasia or Ganglioglioma)              
MesialFrontalEpilepsy,hasEtiology,BifocalEncephalomalacia                  
OccipitalLobeEpilepsy,hasEtiology,(Encephalitis or Glioma or TraumaticBrainInjury)              
OrbitoFrontalEpilepsy,hasEtiology,(BrainTumor or TraumaticBrainInjury or VascularMalformation)              
ParietalLobeEpilepsy,hasEtiology,(BrainTumor or TraumaticBrainInjury)                
PrimaryReadingEpilepsy,hasEtiology,GeneticMutation                  
Neuron,hasExcitatoryFunction,xsd:boolean                  
LeftSignOfFour,hasExtendedArm,LeftArm                  
RightSignOfFour,hasExtendedArm,RightArm                  
Amitriptyline,hasFormulation,(AmitriptylineHydrochloride or AmitriptylineOxide or AmitriptylinePamoate)              
Amphetamine,hasFormulation,(AmphetamineAspartate or AmphetamineAspartateMonohydrate or AmphetamineSaccharate or AmphetamineSulfate)            
Asenapine,hasFormulation,AsenapineMaleate                  
Atomoxetine,hasFormulation,AtomoxetineHydrochloride                  
Bupropion,hasFormulation,(BupropionHydrobromide or BupropionHydrochloride)                
Citalopram,hasFormulation,CitalopramHydrobromide                  
Clomipramine,hasFormulation,ClomipramineHydrochloride                  
Desipramine,hasFormulation,(DesipramineDibudinate or DesipramineHydrochloride)                
Desvenlafaxine,hasFormulation,DesvenlafaxineSuccinate                  
Dexmethylphenidate,hasFormulation,DexmethylphenidateHydrochloride                  
Doxepin,hasFormulation,DoxepinHydrochloride                  
Duloxetine,hasFormulation,DuloxetineHydrochloride                  
Escitalopram,hasFormulation,EscitalopramOxalate                  
Fenfluramine,hasFormulation,FenfluramineHydrochloride                  
Fluoxetine,hasFormulation,FluoxetineHydrochloride                  
Fluvoxamine,hasFormulation,FluvoxamineMaleate                  
Imipramine,hasFormulation,(ImipramineHydrochloride or ImipraminePamoate)                
Lisdexamfetamine,hasFormulation,LisdexamfetamineDimesylate                  
Lithium,hasFormulation,LithiumOrotate                  
Lofepramine,hasFormulation,LofepramineHydrochloride                  
Lurasidone,hasFormulation,LurasidoneHydrochloride                  
Maprotiline,hasFormulation,(MaprotilineHydrochloride or MaprotilineMesylate)                
Methotrimeprazine,hasFormulation,LevomepromazineMaleate                  
Methylphenidate,hasFormulation,MethylphenidateHydrochloride                  
Mianserin,hasFormulation,MianserinHydrochloride                  
Milnacipran,hasFormulation,MilnacipranHydrochloride                  
Nefazodone,hasFormulation,NefazodoneHydrochloride                  
Nortriptyline,hasFormulation,NortriptylineHydrochloride                  
Opipramol,hasFormulation,OpipramolHydrochloride                  
Valproate,hasFormulation,ValproicAcid                  
Zuclopenthixol,hasFormulation,(ZuclopenthixolAcetate or ZuclopenthixolDecanoate or ZuclopenthixolDihydrochloride)              
Acetylcholine,hasFunction,NeuroTransmitter                  
AcetylcholineChloride,hasFunction,NeuroTransmitter                  
AcetylcholinReceptor,hasFunction,NeurotransmitterReceptor                  
Adenosine,hasFunction,NeuroTransmitter                  
AlphaAmino3Hydroxy5Methyl4IsoxazolepropionicAcidReceptor1,hasFunction,NeurotransmitterReceptor                  
AlphaAmino3Hydroxy5Methyl4IsoxazolepropionicAcidReceptor2,hasFunction,NeurotransmitterReceptor                  
Amphiphysin,hasFunction,Endocytosis                  
Aquaporin4,hasFunction,Channel                  
BiologicalSubstance,hasFunction,Epitope                  
Cannabidiol,hasFunction,Cannabinoid                  
Cannabinol,hasFunction,NeuroTransmitter                  
ContactinAssociatedProtein2,hasFunction,Voltage-gatedPotassiumChannelAssociatedProtein                  
DeltaNotchLikeEpidermalGrowthFactorRelatedReceptor,hasFunction,NeuralDevelopment                  
DihydropyrimidinaseRelatedProtein5,hasFunction,NeuralDevelopment                  
DipeptidylPeptidaseLikeProtein6,hasFunction,Voltage-gatedPotassiumChannelAssociatedProtein                  
Dopamine,hasFunction,NeuroTransmitter                  
DopamineHydrochloride,hasFunction,NeuroTransmitter                  
FreeGamma-aminobutyricAcid,hasFunction,NeuroTransmitter                  
GammaAminoButyricAcid,hasFunction,Protein                  
Gamma-aminobutyricAcid,hasFunction,NeuroTransmitter                  
Glutamate,hasFunction,Protein                  
GlutamateDecarboxylase65,hasFunction,NeurotransmitterSynthesis                  
GlutamicAcid,hasFunction,NeuroTransmitter                  
GlutamicAcidHydrochloride,hasFunction,NeuroTransmitter                  
GlycineReceptor,hasFunction,NeurotransmitterReceptor                  
LeucineRichGliomaInactivatedProtein1,hasFunction,Voltage-gatedPotassiumChannelAssociatedProtein                  
Lipoprotein,hasFunction,Protein                  
MetabotropicGlutamateReceptor1,hasFunction,NeurotransmitterReceptor                  
MicrotubuleAssociatedProtein1B,hasFunction,NeuralDevelopment                  
MyelinOligodendrocyteGlycoprotein,hasFunction,AdhesionMolecule                  
N_TypeVoltageGatedCalciumChannel,hasFunction,IonChannel                  
N-MethylDAspartate,hasFunction,Protein                  
N-Methyl-D-AspartateReceptor1,hasFunction,NeurotransmitterReceptor                  
Norepinephrine,hasFunction,NeuroTransmitter                  
NorepinephrineBitartrate,hasFunction,NeuroTransmitter                  
Orexin,hasFunction,NeuroModulator                  
P_Q_TypeVoltageGatedCalciumChannel,hasFunction,IonChannel                  
Serotonin,hasFunction,NeuroTransmitter                  
Somatostatin,hasFunction,NeuroModulator                  
TranscriptionFactorSOX-1,hasFunction,TranscriptionFactor                  
VasoactiveIntestinalPeptide,hasFunction,NeuroModulator                  
VasoactiveIntestinalPeptide,hasFunction,Protein                  
VoltageGatedPotassiumChannel,hasFunction,IonChannel                  
?AminoButyricAcidAReceptor,hasFunction,NeurotransmitterReceptor                  
?AminoButyricAcidBReceptor,hasFunction,NeurotransmitterReceptor                  
Gene,hasGeneAttribute,GeneAttribute                  
SCN1A,hasGeneAttribute,PathogenicMutation                  
AutosomalDominantNocturnalFrontalLobeEpilepsy,hasIctalEpileptiformAbnormality,SeizurePattern                  
AutosomalDominantPartialEpilepsyWithAuditoryFeatures,hasIctalEpileptiformAbnormality,SeizurePattern                  
ChildhoodAbsenceEpilepsy,hasIctalEpileptiformAbnormality,(SlowSpikeWaveComplex or SpikeWaveComplex3Hz)                
ChildhoodEpilepsyWithOccipitalParoxysms,hasIctalEpileptiformAbnormality,SeizurePattern                  
ChildhoodRolandicEpilepsy,hasIctalEpileptiformAbnormality,SeizurePattern                  
DravetSyndrome,hasIctalEpileptiformAbnormality,SeizurePattern                  
EpilepsyWithGeneralTonicClonicSeizureOnAwakening,hasIctalEpileptiformAbnormality,(PolySpikes or Spike)                
FrontalLobeEpilepsy,hasIctalEpileptiformAbnormality,SeizurePattern                  
HypothalamicEpilepsy,hasIctalEpileptiformAbnormality,SeizurePattern                  
InsularEpilepsy,hasIctalEpileptiformAbnormality,SeizurePattern                  
JuvenileAbsenceEpilepsy,hasIctalEpileptiformAbnormality,(PolySpikes or Spike)                
JuvenileMyoclonicEpilepsy,hasIctalEpileptiformAbnormality,SeizurePattern                  
LateralTemporalEpilepsy,hasIctalEpileptiformAbnormality,SeizurePattern                  
OccipitalLobeEpilepsy,hasIctalEpileptiformAbnormality,SeizurePattern                  
OrbitoFrontalEpilepsy,hasIctalEpileptiformAbnormality,SeizurePattern                  
ParietalLobeEpilepsy,hasIctalEpileptiformAbnormality,SeizurePattern                  
PosteriorCingulateEpilepsy,hasIctalEpileptiformAbnormality,SeizurePattern                  
PrefrontalEpilepsy,hasIctalEpileptiformAbnormality,SeizurePattern                  
PosteriorCingulateEpilepsy,hasIctalOnsetZone,TemporalLobe                  
Neuron,hasInhibitoryFunction,xsd:boolean                  
AnteriorCingulateEpilepsy,hasInterIctalEpileptiformAbnormality,(SharpWave or Spike)                
AutosomalDominantNocturnalFrontalLobeEpilepsy,hasInterIctalEpileptiformAbnormality,(PolySpikes or SharpWave or Spike)              
AutosomalDominantPartialEpilepsyWithAuditoryFeatures,hasInterIctalEpileptiformAbnormality,(SharpWave or Spike)                
BenignChildhoodEpilepsyWithCentrotemporalSpikes,hasInterIctalEpileptiformAbnormality,BenignFocalEpileptiformDischargeofChildhood                  
ChildhoodAbsenceEpilepsy,hasInterIctalEpileptiformAbnormality,SlowSpikeWaveComplex                  
ChildhoodRolandicEpilepsy,hasInterIctalEpileptiformAbnormality,(BenignFocalEpileptiformDischargeofChildhood or SlowSpikeWaveComplex)                
ChronicProgressiveEpilepsiaPartialisContinuaofChildhood,hasInterIctalEpileptiformAbnormality,(SharpWave or Spike)                
ChronicProgressiveEpilepsiaPartialisContinuaofChildhood,hasInterIctalEpileptiformAbnormality,SeizurePattern                  
DravetSyndrome,hasInterIctalEpileptiformAbnormality,(PolySpikes or SharpWave or Spike or SpikeWaveComplex)            
EpilepsyWithGeneralTonicClonicSeizureOnAwakening,hasInterIctalEpileptiformAbnormality,(PolySpikes or Spike)                
FrontalLobeEpilepsy,hasInterIctalEpileptiformAbnormality,(SharpWave or Spike)                
InsularEpilepsy,hasInterIctalEpileptiformAbnormality,(SharpWave or Spike)                
JuvenileAbsenceEpilepsy,hasInterIctalEpileptiformAbnormality,SlowSpikeWaveComplex                  
JuvenileMyoclonicEpilepsy,hasInterIctalEpileptiformAbnormality,(PolySpikes or Spike)                
LateralTemporalEpilepsy,hasInterIctalEpileptiformAbnormality,(SharpWave or Spike)                
OccipitalLobeEpilepsy,hasInterIctalEpileptiformAbnormality,(SharpWave or Spike)                
OrbitoFrontalEpilepsy,hasInterIctalEpileptiformAbnormality,(SharpWave or Spike)                
ParietalLobeEpilepsy,hasInterIctalEpileptiformAbnormality,(SharpWave or Spike)                
PosteriorCingulateEpilepsy,hasInterIctalEpileptiformAbnormality,(SharpWave or Spike)                
PrefrontalEpilepsy,hasInterIctalEpileptiformAbnormality,(SharpWave or Spike)                
SlowActivity,hasInterIctalEpileptiformAbnormality,(PolySpikes or Spike)                
VariationID50820,hasMolecularConsequence,NonsenseVariant                  
VariationID50822,hasMolecularConsequence,NonsenseVariant                  
VariationID50824,hasMolecularConsequence,NonsenseVariant                  
VariationID50825,hasMolecularConsequence,NonsenseVariant                  
VariationID59809,hasMolecularConsequence,NonsenseVariant                  
VariationID60708,hasMolecularConsequence,MissenseVariant                  
VariationID60767,hasMolecularConsequence,MissenseVariant                  
VariationID68500,hasMolecularConsequence,MissenseVariant                  
VariationID68502,hasMolecularConsequence,MissenseVariant                  
VariationID68504,hasMolecularConsequence,MissenseVariant                  
VariationID68505,hasMolecularConsequence,MissenseVariant                  
VariationID68506,hasMolecularConsequence,MissenseVariant                  
VariationID68512,hasMolecularConsequence,MissenseVariant                  
VariationID68520,hasMolecularConsequence,MissenseVariant                  
VariationID68523,hasMolecularConsequence,MissenseVariant                  
VariationID88682,hasMolecularConsequence,NonsenseVariant                  
VariationID88683,hasMolecularConsequence,NonsenseVariant                  
VariationID88727,hasMolecularConsequence,Splice-DA                  
VariationID88728,hasMolecularConsequence,MissenseVariant                  
VariationID88729,hasMolecularConsequence,NonsenseVariant                  
VariationID88731,hasMolecularConsequence,Splice-DA                  
VariationID88732,hasMolecularConsequence,MissenseVariant                  
VariationID88733,hasMolecularConsequence,MissenseVariant                  
VariationID88734,hasMolecularConsequence,NonsenseVariant                  
GliosisWithoutHS,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only CA1Field)) or (NoNeuronalLoss and (isLocatedAt only CA1Field)))
GliosisWithoutHS,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only CA2Field)) or (NoNeuronalLoss and (isLocatedAt only CA2Field)))
GliosisWithoutHS,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only CA3Field)) or (NoNeuronalLoss and (isLocatedAt only CA3Field)))
GliosisWithoutHS,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only CA4Field)) or (NoNeuronalLoss and (isLocatedAt only CA4Field)))
GliosisWithoutHS,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only DentateGyrusHippocampus)) or (NoNeuronalLoss and (isLocatedAt only DentateGyrusHippocampus)))
GliosisWithoutHS,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only Subiculum)) or (NoNeuronalLoss and (isLocatedAt only Subiculum)))
HippocampalSclerosis,hasNeuronalLossValue,NeuronalLoss                        
HSType1,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only CA2Field)) or (NoNeuronalLoss and (isLocatedAt only CA2Field)) or (SevereNeuronalLoss and (isLocatedAt only CA2Field)))
HSType1,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only CA3Field)) or (NoNeuronalLoss and (isLocatedAt only CA3Field)) or (SevereNeuronalLoss and (isLocatedAt only CA3Field)))
HSType1,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only DentateGyrusHippocampus)) or (NoNeuronalLoss and (isLocatedAt only DentateGyrusHippocampus)) or (SevereNeuronalLoss and (isLocatedAt only DentateGyrusHippocampus)))
HSType1,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only Subiculum)) or (NoNeuronalLoss and (isLocatedAt only Subiculum)))
HSType1,hasNeuronalLossValue,(SevereNeuronalLoss and (isLocatedAt only CA1Field))              
HSType1,hasNeuronalLossValue,(SevereNeuronalLoss and (isLocatedAt only CA4Field))              
HSType2,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only CA1Field)) or (SevereNeuronalLoss and (isLocatedAt only CA1Field)))
HSType2,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only CA2Field)) or (NoNeuronalLoss and (isLocatedAt only CA2Field)))
HSType2,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only CA3Field)) or (NoNeuronalLoss and (isLocatedAt only CA3Field)))
HSType2,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only CA4Field)) or (NoNeuronalLoss and (isLocatedAt only CA4Field)))
HSType2,hasNeuronalLossValue,((ModerateNeuronalLoss and (isLocatedAt only DentateGyrusHippocampus)) or (NoNeuronalLoss and (isLocatedAt only DentateGyrusHippocampus)))
