Subject,Predicate,Object
Stiripentol,hasLowSideEffectRate,InLongTermTreatment
Stiripentol,isEffectiveWhenInitiatedIn,Adulthood
Stiripentol,hasPotentialTherapeuticEffectIn,OtherGeneticEpilepticEncephalopathies
Stiripentol,isWellToleratedIn,ChildrenAndAdults
Stiripentol,effectiveBeyond,DravetSyndrome
Stiripentol,hasSustainedResponseOverTime,AcrossAetiologies
Stiripentol,recommendedFor,DrugResistantEpilepsy
Stiripentol,moreEffectiveWhenInitiatedAt,EarlyAge
DravetSyndrome,hasModel,Scn1LabMutantZebrafish
Scn1Lab,isOrthologOf,SCN1A
Scn1LabMutantZebrafish,exhibits,SpontaneousElectrographicSeizures
Scn1LabMutantZebrafish,exhibits,ConvulsiveBehavior
Scn1LabExpression,isReducedIn,MutantLarvae
DravetSyndrome,isCharacterizedBy,DrugResistantSeizures
Clemizole,identifiedAs,PotentialTherapeuticForDravetSyndrome
ZebrafishModel,enables,HighThroughputDrugScreening
Scn1LabMutantZebrafish,hasMutation,MethionineToArginine
Scn1Lab,expressedIn,CentralNervousSystem
Scn1LabMutantZebrafish,reduces,Scn1LabExpression
Scn1LabMutantZebrafish,exhibits,NoCompensatoryChangeInOtherScnGenes
MicroarrayAnalysis,detects,DifferentialGeneExpressionInScn1LabMutants
Scn1LabMutantZebrafish,testedWith,AntiepilepticDrugs
Scn1LabMutantZebrafish,exhibits,SpontaneousSeizuresStartingAt3dpf
Scn1LabMutantZebrafish,exhibits,HyperactivityAndConvulsiveBehavior
Scn1LabMutantZebrafish,reduces,Scn1LabmRNA
MicroarrayAnalysis,exhibits,2.5PercentGenesDifferentiallyExpressed
Scn1LabMutantZebrafish,has,NoCompensationByScn8aOrScn8b
Valproate,reduces,EpileptiformActivity
Diazepam,reduces,EpileptiformActivity
PotassiumBromide,reduces,EpileptiformActivity
Stiripentol,reduces,EpileptiformActivity
Carbamazepine,increases,SeizureFrequency
Ethosuximide,increases,SeizureFrequency
Vigabatrin,increases,SeizureFrequency
KetogenicDiet,reduces,SeizureLikeBehavior
Clemizole,inhibits,SpontaneousSeizureActivity
Clemizole,reduces,ElectrographicSeizures
Clemizole,effectiveIn,PTZInducedSeizureModel
Scn1LabMutantZebrafish,recapitulates,KeyFeaturesOfDravetSyndrome
Scn1LabMutantZebrafish,has,PharmacologicalProfileSimilarToHumanDS
Clemizole,actsAs,AntihistamineAndNS4BRNABindingInhibitor
Clemizole,emergesAs,LeadCompoundForDravetSyndrome
Clemizole,requiresFurtherStudyFor,MechanismOfAction
ZebrafishScreeningPlatform,enables,RapidInVivoEvaluationOfAntiepilepticDrugs
HighThroughputScreening,identified,ClemizoleAsEffectiveDrug
Scn1LabMutantZebrafish,usefulFor,PersonalizedEpilepsyDrugDiscovery
Clemizole,represents,PromisingTherapeuticForDravetSyndrome
Epilepsy,hasSubtype,RareEpilepsy
RareEpilepsy,hasSubtype,DravetSyndrome
RareEpilepsy,hasSubtype,TuberousSclerosisComplex
RareEpilepsy,hasSubtype,AutoimmuneEncephalitis
RareEpilepsy,hasSubtype,UnverrichtLundborgDisease
RareEpilepsy,hasSubtype,UnverrichtLikeDisease
TuberousSclerosisComplex,hasGeneticCause,TSC1OrTSC2
AutoimmuneEncephalitis,hasAssociatedAntibody,LGI1
AutoimmuneEncephalitis,hasAssociatedAntibody,NMDAReceptor
Survey,included,FiveRareEpilepsies
EpiCARECenters,reportedCohortsFor,DravetSyndrome
EpiCARECenters,reportedCohortsFor,TuberousSclerosisComplex
EpiCARECenters,reportedCohortsFor,AutoimmuneEncephalitis
EpiCARECenters,reportedCohortsFor,UnverrichtLundborgDisease
DravetSyndrome,firstLineTreatment,Valproate
DravetSyndrome,secondLineTreatment,Clobazam
DravetSyndrome,thirdLineTreatment,Stiripentol
TuberousSclerosisComplex,hasTargetedTherapy,Everolimus
AutoimmuneEncephalitis,firstLineImmunotherapy,Corticosteroids
AutoimmuneEncephalitis,secondLineImmunotherapy,IVIG
AutoimmuneEncephalitis,thirdLineImmunotherapy,Plasmapheresis
AutoimmuneEncephalitis,fourthLineImmunotherapy,Rituximab
UnverrichtLundborgDisease,firstLineTreatment,Valproate
UnverrichtLundborgDisease,secondLineTreatment,Levetiracetam
UnverrichtLikeDisease,firstLineTreatment,Valproate
UnverrichtLikeDisease,secondLineTreatment,Levetiracetam
TuberousSclerosisComplex,infantileSpasmsTreatment,Vigabatrin
EpiCARECenters,useTherapeuticDrugMonitoringFor,RareEpilepsies
EpiCARECenters,screenFor,Comorbidities
DravetSyndrome,avoidsDrugClass,SodiumChannelBlockers
Stiripentol,isApprovedFor,AdjunctiveTherapyInDravetSyndrome
Everolimus,actsOn,MTORPathway
AutoimmuneEncephalitis,treatedWith,CorticosteroidsAndRituximab
UnverrichtLundborgDisease,contraindicatedDrug,Carbamazepine
EpiCARENetwork,identifiesNeedFor,ComorbidityTreatmentProtocols
EpiCARECenters,demonstrate,ConsistencyInPharmacotherapy
EpiCARECenters,highlight,NeedForControlledTrials
EpiCARESurvey,exhibits,ConsistencyAndHeterogeneityInTreatment
RareEpilepsies,require,EvidenceBasedGuidelines
EpiCARENetwork,enables,CollaborationForClinicalTrials
EpiCARESurvey,reveals,NeedForComorbidityManagement
EpiCARECenters,canRecruitPatientsFor,FutureStudies
SCN1A,encodes,Nav1.1
Nav1.1,isTypeOf,VoltageGatedSodiumChannel
SCN1A,hasVariantType,LossOfFunction
SCN1A,hasVariantType,GainOfFunction
SCN1A_LossOfFunction,causes,DravetSyndrome
SCN1A_LossOfFunction,causes,GEFSPlus
SCN1A_GainOfFunction,causes,FamilialHemiplegicMigraineType3
SCN1A_GainOfFunction,causes,EarlyInfantileDevelopmentalAndEpilepticEncephalopathy
SCN1A_GainOfFunction,causes,NeonatalEpilepsyWithArthrogryposis
DravetSyndrome,hasClinicalFeature,DrugResistantEpilepsy
DravetSyndrome,hasClinicalFeature,IntellectualDisability
FamilialHemiplegicMigraineType3,hasClinicalFeature,HemiparesisDuringAttacks
SCN1A_GainOfFunctionVariants,clusterIn,ChannelInactivationRegions
SCN1A_LossOfFunctionVariants,clusterIn,PoreRegions
SCN1A_GainOfFunctionVariants,cause,NeonatalDevelopmentalEpilepticEncephalopathyWithArthrogryposis
SCN1A_GainOfFunctionVariants,cause,EarlyInfantileDevelopmentalEpilepticEncephalopathyWithMovementDisorder
SCN1A_GainOfFunctionVariants,cause,DevelopmentalEpilepticEncephalopathyWithoutMovementDisorder
NDEEMA,characterizedBy,NeonatalSeizuresAndArthrogryposis
NDEEMA,characterizedBy,TonicSeizuresApneasAndProfoundDisability
EIDEE,characterizedBy,TonicAndFocalClonicSeizuresWithMovementDisorder
SCN1A_GainOfFunctionVariants,respondsTo,SodiumChannelBlockers
SodiumChannelBlockers,includes,CarbamazepinePhenytoinLamotrigineLacosamide
Patients,show,ReductionInSeizuresWithSCBUse
GOFVariants,associatedWith,NeuronalHyperexcitability
FHM3Variants,cause,StrongerGainOfFunctionThanEpilepsyVariants
SCN1A_GainOfFunctionDisorders,expandSpectrumTo,MultipleEpilepsyPhenotypes
SCN1A_GainOfFunctionDisorders,differFrom,SCN1A_LossOfFunctionDisorders
SCN1A_GainOfFunctionDisorders,show,ResponseToSodiumChannelBlockers
DravetSyndrome,worsensWith,SodiumChannelBlockers
SCN1A_GainOfFunctionVariants,shouldBeConsideredIn,EarlyOnsetNonDravetEpilepsies
FHM3Variants,cause,LargerIncreaseInPersistentCurrent
EpilepsyVariants,cause,MildGainOfFunction
VariantLocation,affects,PhenotypeSeverity
SingleAminoAcidChange,alters,PhenotypeBetweenEpilepsyAndMigraine
SCN1A_GainOfFunctionVariants,associatedWith,DiseaseSpectrumFromNDEEMAToFHM3
GOFDisorders,shouldBeDiagnosedEarlyToGuide,SodiumChannelBlockerTherapy
LossOfFunctionTherapies,contraindicatedIn,GainOfFunctionDisorders
SCN1A_GainOfFunctionDisorders,require,PrecisionTreatmentApproach
Lacosamide,hasMechanismOfAction,EnhancesSlowInactivationOfVoltageGatedSodiumChannels
Lacosamide,doesNotAffect,RapidInactivationOfSodiumChannels
Lacosamide,reduces,NeuronalHyperexcitability
Lacosamide,isChemicallyClassifiedAs,AminoAcidDerivative
Lacosamide,hasBioavailability,Approximately100Percent
Lacosamide,isApprovedFor,PatientsOver16Years
Lacosamide,isInvestigatedFor,PediatricRefractoryEpilepsy
Study,conductedAt,18NeuropediatricUnitsInSpain
Lacosamide,initialDose,1To2mgPerKgPerDay
Lacosamide,titratedTo,6To9mgPerKgPerDayOver4To6Weeks
ConcomitantAEDs,maintainedAt,StableDoseDuringStudy
Lacosamide,achievedResponderRate,62.3Percent
Lacosamide,achievedCompleteSeizureSuppression,13.8Percent
Lacosamide,hasNoDoseResponseRelationshipForAdverseEffects,Results
Lacosamide,causedAdverseEffectsIn,30PercentOfPatients
Lacosamide,caused,InstabilityAndDizziness
Lacosamide,caused,BlurredVision
Lacosamide,wellToleratedIn,MajorityOfPediatricPatients
Lacosamide,reduced,SeizureFrequencyInRefractoryEpilepsy
Lacosamide,effectiveWith,LevetiracetamAndValproateCoAdministration
Lacosamide,lessEffectiveWith,OtherSodiumChannelBlockingAEDs
Lacosamide,noSignificantEffectOn,EEGAndLaboratoryParameters
Lacosamide,didNotCause,CardiovascularEffects
Lacosamide,isEffectiveIn,PediatricRefractoryEpilepsy
Lacosamide,combinationWithLevetiracetamOrValproate,improvesEfficacy
Lacosamide,combinationWithSodiumChannelBlockers,increasesRiskOfNeurotoxicity
Lacosamide,caused,InstabilityAndDifficultyWalkingInSomePatients
Lacosamide,generallyWellToleratedAt,DosesUpTo9mgPerKgPerDay
Lacosamide,didNotExhibit,DoseDependentAdverseEffects
Lacosamide,mayImprove,BehaviorAndResponseToStimuli
Lacosamide,isEffectiveAndWellToleratedIn,ChildrenWithRefractoryEpilepsy
Lacosamide,recommendedDose,1To2mgPerKgPerDayInitialAnd6To9mgPerKgPerDayMaintenance
Lacosamide,administered,TwiceDaily
Lacosamide,reduces,SeizureFrequencyRegardlessOfOtherAEDs
Lacosamide,shouldBeUsedCautiouslyWith,OtherSodiumChannelBlockingAEDs
DravetSyndrome,hasCharacteristic,FebrileSeizuresInFirstYearOfLife
DravetSyndrome,hasCharacteristic,MultipleSeizureTypes
DravetSyndrome,hasCharacteristic,PsychomotorRegression
DravetSyndrome,causedByMutationIn,SCN1A
SCN1A,encodes,SodiumChannelAlpha1Subunit
SCN1AMutation,leadsTo,MalfunctionOfInhibitoryNeurons
Stiripentol,increases,DurationOfGABAAReceptorOpening
Stiripentol,interferesWith,GABAReuptakeAndMetabolism
Stiripentol,approvedForUseIn,CombinationWithValproateAndClobazam
Patients,classifiedInto,MutationAndNonMutationGroups
MutationGroup,has,PathogenicOrLikelyPathogenicSCN1AVariants
NonMutationGroup,has,BenignOrVariantOfUnknownSignificance
Stiripentol,administeredAt,25To100mgPerKgPerDay
Valproate,doseReducedTo,20mgPerKgPerDayWhenCombinedWithStiripentol
Clobazam,doseReducedTo,0.5mgPerKgPerDayWhenCombinedWithStiripentol
MutationGroup,hadMeanSeizureReductionOf,72.53Percent
NonMutationGroup,hadMeanSeizureReductionOf,50.58Percent
Stiripentol,wasMoreEffectiveIn,SCN1AMutationGroup
MissenseMutations,showed,87.5PercentSeizureReduction
TruncationMutations,showed,70.5PercentSeizureReduction
LinkerRegionMutations,showed,PoorResponseToStiripentol
VoltageSensorAndPoreRegionMutations,showed,HighResponseToStiripentol
Stiripentol,caused,SedationInTwoPatients
Stiripentol,caused,LossOfAppetiteInOnePatient
Stiripentol,didNotCause,MajorAdverseEvents
SCN1AMutations,occurIn,MoreThan70PercentOfDravetSyndromePatients
CombinationTherapy,reduces,SeizureFrequencySignificantly
CarbamazepineAndLamotrigine,shouldBeAvoidedIn,DravetSyndrome
Stiripentol,actsAs,PositiveAllostericModulatorOfGABAAReceptor
Stiripentol,inhibits,CytochromeP450Enzymes
Stiripentol,increases,PlasmaConcentrationOfOtherAntiepilepticDrugs
Stiripentol,isEffectiveIn,PatientsWithMissenseAndTruncationMutations
SCN1AProtein,consistsOf,FourDomainsWithSixTransmembraneSegments
SCN1AMutations,affect,PoreLoopAndVoltageSensorRegions
Efficacy,wasLowerIn,PatientsWithLinkerRegionMutations
Stiripentol,isEffectiveIn,DravetSyndromeWithSCN1AMutations
Stiripentol,hasBetterEfficacyIn,PatientsWithDefiniteSCN1AMutations
Stiripentol,shouldBeUsedAs,AddOnTherapyWithValproateAndClobazam
FurtherStudies,neededToEvaluate,MutationSpecificEfficacyOfStiripentol
DravetSyndrome,causedBy,SCN1ALossOfFunctionMutation
SCN1A,encodes,NaV1.1SodiumChannel
DravetSyndrome,characterizedBy,FebrileAndSpontaneousSeizures
DravetSyndrome,hasComorbidity,HyperactivitySleepDisorderAnxietyAndCognitiveDeficits
CurrentTherapies,haveLimitation,PoorEfficacyAndIntolerance
Cannabidiol,hasTherapeuticPotentialFor,DravetSyndrome
Clonazepam,isPositiveAllostericModulatorOf,GABAAReceptor
Clonazepam,isFirstLineTreatmentFor,AcuteSeizures
Cannabidiol,approvedForUseIn,DravetSyndromeAndLennoxGastautSyndrome
CombinationTherapy,hypothesizedToProvide,AdditiveAntiseizureEfficacy
Scn1a+/Ã¢ÂÂMouse,models,DravetSyndrome
Clonazepam,administeredBefore,ThermalSeizureInduction
Cannabidiol,administeredBefore,ThermalSeizureInduction
SeizureSeverity,evaluatedUsing,RacineScale
Clonazepam,increased,SeizureThresholdTemperature
CombinationOfCBDAndClonazepam,increased,ThresholdTemperatureForSeizureInduction
CombinationOfCBDAndClonazepam,reduced,SeizureDurationAdditively
Clonazepam,hadNoEffectOn,SeizureDurationOrSeverity
Cannabidiol,reduced,SeizureDuration
CombinationOfCBDAndClonazepam,hadNoEffectOn,SeizureSeverity
CombinationTreatment,shifted,ThermalInductionCurvesToHigherTemperatures
CombinationTreatment,additivelyReduced,SeizureDurationComparedToCLZAlone
CombinationTreatment,didNotChange,SeizureSeverity
DravetSyndrome,hasPathogenicMechanism,ReducedSodiumCurrentInGABAergicInterneurons
Clonazepam,enhances,PostsynapticGABAergicTransmission
Cannabidiol,modulates,PresynapticGABAergicTransmissionViaGPR55
GPR55,expressedIn,InterneuronsAndExcitatoryNeurons
Cannabidiol,reduces,SeizureDurationViaGPR55Antagonism
CombinationTherapy,provides,AdditiveGABAEnhancingEffects
CombinationTherapy,offers,PotentialForReducedSedation
CombinationOfCBDAndClonazepam,isEffectiveFor,ThermallyInducedSeizuresInDravetSyndrome
CombinationTherapy,reduces,SeizureDurationAndThermalSensitivity
CombinationTherapy,suggestedToImprove,CognitionAndSocialBehavior
CombinationTherapy,represents,PromisingStrategyForDravetSyndromeTreatment
Cannabidiol,isNonpsychoactiveCompoundDerivedFrom,Cannabis
Cannabidiol,hasTherapeuticUseIn,Epilepsy
Cannabidiol,approvedForTreatmentOf,DravetSyndromeAndLennoxGastautSyndrome
Cannabidiol,hasLowAndVariable,OralBioavailability
Cannabidiol,metabolizedBy,CytochromeP450AndUGTEnzymes
Cannabidiol,hasPotential,DrugDrugInteractionsWithAntiseizureMedications
Study,included,PatientsWithDravetSyndromeAndLennoxGastautSyndrome
Cannabidiol,startingDose,2To5mgPerKgPerDay
Cannabidiol,maximumDose,18To25mgPerKgPerDay
BloodSamples,collectedAt,PreDoseAnd2.5HoursPostDose
CBDPlasmaConcentration,increasedLinearlyWith,DailyDose
CBDTroughConcentration,was,91ngPerMl
CBDPostDoseConcentration,doubledTo,190ngPerMl
CBDPlasmaConcentration,showed,HighIntersubjectVariability
CBDConcentrationToDoseRatio,wasHigherIn,AdultsComparedToChildren
Sex,hadNoSignificantEffectOn,CBDConcentrationDoseRatio
EnzymeInducingASMs,didNotSignificantlyAlter,CBDLevels
Responders,had,54PercentRateOfSeizureReduction
AdverseEvents,occurredIn,43PercentOfPatients
AdverseEvents,included,AppetiteLossDiarrheaSomnolenceElevatedTransaminaseBehavioralChanges
CBDPlasmaConcentration,correlatesWith,DailyDose
CBDPlasmaConcentration,variesDueTo,BioavailabilityAndMetabolism
FoodIntake,increases,CBDBioavailabilityByFourToFiveFold
Age,affects,CBDPharmacokinetics
Adults,haveHigher,CBDConcentrationPerDoseUnit
CBDExposure,notInfluencedBy,SexOrEnzymeInducingASMs
CBD,metabolizedBy,CYP2C19CYP3A4AndUGTs
Clobazam,increases,7HydroxyCBDLevelsViaUGTInhibition
StiripentolAndValproate,haveNoSignificantEffectOn,CBDBioavailability
CBDConcentration,notCorrelatedWith,SeizureControlOrAdverseEffects
CBDTreatment,resultedIn,ResponderRateSimilarToPreviousClinicalTrials
AdverseEvents,lessFrequentThan,PreviousStudies
CBDPharmacokinetics,characterizedBy,DoseDependentButVariableAbsorption
Age,influences,CBDPlasmaLevels
ReducedCBDDose,recommendedFor,OlderPatients
CBDTreatment,safeAndEffectiveIn,PharmacoresistantEpilepsyIncludingDravetSyndrome
Cannabidiol,isApprovedForTreatmentOf,DravetSyndromeAndLennoxGastautSyndrome
Cannabidiol,isPurifiedFrom,CannabisSativa
Cannabidiol,actsAs,NonpsychoactiveCannabinoid
Cannabidiol,hasMechanism,GABAergicAndSerotonergicModulation
Cannabidiol,hasDrugInteractionWith,ClobazamAndValproate
RapidTitrationOfCBD,associatedWith,HigherAdverseEventIncidence
SlowTitrationOfCBD,hypothesizedToImprove,Tolerability
Study,included,125PatientsWithDrugResistantEpilepsies
StudyPopulation,included,DravetSyndromeLennoxGastautSyndromeAndTuberousSclerosisComplex
Cannabidiol,startingDose,2.5mgPerKgPerDay
Cannabidiol,titratedTo,10To20mgPerKgPerDayOver6To8Weeks
ClobazamAndValproate,usedAs,ConcomitantTherapyInMostPatients
MeanSeizureReduction,was,41PercentAt6Months
ResponderRate,definedAs,AtLeast50PercentReductionInSeizureFrequency
ResponderRate,was,37.8PercentOfPatients
Cannabidiol,improved,SeizureControlInAllSyndromeGroups
Cannabidiol,hadBetterTolerabilityWith,SlowTitrationProtocol
AdverseEvents,occurredIn,31.2PercentOfPatients
MostCommonAdverseEvents,were,SomnolenceDecreasedAppetiteAndDiarrhea
SeriousAdverseEvents,occurredIn,5.6PercentOfPatients
LiverEnzymeElevation,occurredIn,PatientsTakingValproateAndClobazam
DiscontinuationRateDueToAEs,was,6.4Percent
SlowTitrationOfCBD,reduces,AdverseEventFrequency
SlowTitrationOfCBD,maintains,EfficacyComparableToRapidTitration
ClobazamCoAdministration,associatedWith,SedationAndElevatedTransaminases
LiverFunctionMonitoring,recommendedFor,CBDPlusValproateCombination
SlowTitration,improves,PatientAdherenceToTreatment
SlowTitrationOfCBD,isSafeAndEffectiveIn,DrugResistantEpilepsy
SlowTitrationOfCBD,recommendedFor,ImprovedTolerabilityAndComparableEfficacy
MonitoringOfLiverEnzymes,isEssentialFor,PatientsOnCBDPlusValproate
DravetSyndrome,isTypeOf,TreatmentResistantEpilepsy
Cannabidiol,actsAs,NonpsychoactiveCompound
Cannabidiol,modulates,GABAergicTransmission
Cannabidiol,inhibits,CytochromeP450IsozymesCYP2C19AndCYP3A4
Cannabidiol,approvedAs,AddOnTherapyForDravetSyndrome
StudyPopulation,included,ChildrenWithDravetSyndromeAged4To10Years
Study,conductedAt,12SitesInUnitedStatesAndUnitedKingdom
Study,registeredAt,NCT02091206
StudyDesign,included,4WeekBaseline3WeekTreatment10DayTaper4WeekFollowUp
Patients,randomizedTo,PlaceboOrCBDAt5_10_20mgPerKgPerDay
BloodSamples,collectedFor,CBDAndMetabolitePharmacokinetics
TotalPatients,was,34
CompletionRate,was,94Percent
CBDExposure,increasedProportionallyWith,Dose
MajorMetabolite,was,7COOH_CBD
MinorMetabolite,was,6OH_CBD
CBD,hadNoEffectOn,SystemicLevelsOfValproateLevetiracetamTopiramateStiripentol
CBD,increased,NDesmethylclobazamLevelsBy166To526Percent
Stiripentol,prevented,CBDInducedNDesmethylclobazamElevation
AdverseEvents,occurredIn,74PercentOfCBDGroupAnd86PercentOfPlaceboGroup
CommonAdverseEvents,included,PyrexiaSomnolenceDecreasedAppetiteSedationVomitingAtaxiaAbnormalBehavior
ElevatedTransaminases,occurredIn,PatientsTakingCBDAndValproate
NoPatients,metCriteriaFor,DrugInducedLiverInjury
Cannabidiol,hasDoseProportionalPharmacokinetics,Across5To20mgPerKgRange
Cannabidiol,isWellToleratedAt,AllDosesTested
Cannabidiol,interactsWith,ClobazamViaCYP2C19Inhibition
Stiripentol,reduces,CYP2C19MediatedInteractionBetweenCBDAndClobazam
ElevatedTransaminases,associatedWith,ConcomitantUseOfCBDAndValproate
Cannabidiol,caused,NoWorseningOfSeizuresOrNewSeizureTypes
Cannabidiol,resultedIn,MoreAdverseEventsThanPlaceboButWasGenerallyWellTolerated
Cannabidiol,isSafeAndWellToleratedIn,ChildrenWithDravetSyndrome
