Subject,Predicate,Object,Section,PMCID
Cannabidiol,inhibits,CYP2C19,Methods,6900043
CYP3A4,metabolizes,Clobazam,Methods,6900043
CYP2C19,metabolizes,NDesmethylclobazam,Methods,6900043
Cannabidiol,modulates,GABAAReceptor,Methods,6900043
Clobazam,modulates,GABAAReceptor,Methods,6900043
Experiment,hasTreatmentGroup,CBDClobazamCombination,Methods,6900043
Cannabidiol,inhibitsMetabolismOf,Clobazam,Results,6900043
Cannabidiol,inhibitsMetabolismOf,NDesmethylclobazam,Results,6900043
Cannabidiol,increases,ClobazamHalfLife,Results,6900043
Cannabidiol,increases,NDesmethylclobazamExposure,Results,6900043
CBDClobazamCombination,improves,Survival,Results,6900043
CBDClobazamCombination,reduces,SpontaneousSeizureFrequency,Results,6900043
CBDClobazamCombination,reduces,ThermalSeizureSusceptibility,Results,6900043
CBDClobazamCombination,increases,PlasmaNDesmethylclobazamLevel,Results,6900043
Cannabidiol,enhances,ClobazamPlasmaConcentration,Results,6900043
Cannabidiol,enhances,GABAAReceptorActivity,Results,6900043
CBDClobazamCombination,hasPharmacokineticInteraction,CYP450Mediated,Discussion,6900043
CBDClobazamCombination,hasPharmacodynamicInteraction,GABAAReceptor,Discussion,6900043
Cannabidiol,isPositiveAllostericModulatorOf,GABAAReceptor,Discussion,6900043
Clobazam,isPositiveAllostericModulatorOf,GABAAReceptor,Discussion,6900043
Cannabidiol,antagonizes,GPR55,Discussion,6900043
GPR55Antagonism,restores,InterneuronFunction,Discussion,6900043
CBDClobazamCombination,improves,TherapeuticOutcomeInDravetSyndrome,Discussion,6900043
Cannabidiol,hasMechanism,MultimodalAnticonvulsantEffect,Discussion,6900043
Cannabidiol,hasEffectOn,SpontaneousAndThermalSeizures,Discussion,6900043
DravetSyndrome,hasPotentialTreatment,CBDClobazamCombination,Discussion,6900043
DravetSyndrome,hasGeneticCause,SCN1A,Introduction,7443476
SCN1A,encodes,NaV1.1Channel,Introduction,7443476
DravetSyndrome,hasSeizureType,FebrileSeizure,Introduction,7443476
DravetSyndrome,hasComorbidity,SUDEP,Introduction,7443476
CannabisExtract,contains,Cannabidiol,Introduction,7443476
CannabisExtract,contains,Delta9THC,Introduction,7443476
Cannabidiol,hasAnticonvulsantEffect,Epilepsy,Introduction,7443476
Delta9THC,interactsWith,Cannabidiol,Introduction,7443476
Cannabidiol,modulates,GABAAReceptor,Introduction,7443476
Delta9THC,modulates,CB1Receptor,Introduction,7443476
Scn1a+/-Mouse,modelsDisease,DravetSyndrome,Methods,7443476
Scn1a+/-Mouse,hasPhenotype,SpontaneousSeizure,Methods,7443476
Scn1a+/-Mouse,hasPhenotype,PrematureDeath,Methods,7443476
Experiment,hasTreatmentGroup,CannabidiolTreatedMice,Methods,7443476
Experiment,hasTreatmentGroup,THCTreatedMice,Methods,7443476
Experiment,hasTreatmentGroup,CBDTHCCombinationTreatedMice,Methods,7443476
Cannabidiol,administeredVia,IntraperitonealInjection,Methods,7443476
Delta9THC,administeredVia,IntraperitonealInjection,Methods,7443476
Cannabidiol,administeredVia,DietarySupplementation,Methods,7443476
Delta9THC,administeredVia,DietarySupplementation,Methods,7443476
Delta9THC,hasAnticonvulsantEffectOn,HyperthermiaInducedSeizures,Results,7443476
Cannabidiol,hasAnticonvulsantEffectOn,HyperthermiaInducedSeizures,Results,7443476
Cannabidiol,hasNoEffectOn,SpontaneousSeizureFrequency,Results,7443476
Delta9THC,hasNoEffectOn,SpontaneousSeizureFrequency,Results,7443476
CBDTHCCombination,enhances,AnticonvulsantEffectAgainstThermalSeizures,Results,7443476
CBDTHCCombination,increases,SpontaneousSeizureSeverity,Results,7443476
CBDTHCCombination,reduces,Survival,Results,7443476
Cannabidiol,increases,THCPlasmaConcentration,Results,7443476
Delta9THC,increases,CBDPlasmaConcentration,Results,7443476
CBDTHCCombination,hasPharmacokineticInteraction,ElevatedPlasmaLevels,Results,7443476
Delta9THC,actsOn,CB1Receptor,Discussion,7443476
Cannabidiol,isNegativeAllostericModulatorOf,CB1Receptor,Discussion,7443476
Cannabidiol,modulates,GPR55,Discussion,7443476
Cannabidiol,modulates,TRPV1,Discussion,7443476
Cannabidiol,enhances,GABAAReceptorActivity,Discussion,7443476
CBDTHCCombination,hasDualEffect,AnticonvulsantAndProconvulsant,Discussion,7443476
HighTHCExposure,induces,ProconvulsantEffect,Discussion,7443476
CBDTHCCombination,hasClinicalImplication,CautionInChronicUse,Discussion,7443476
CBDTHCCombination,mayBeUsefulAs,AcuteRescueTherapyForFebrileSeizures,Discussion,7443476
CBDTHCCombination,requires,SafetyMonitoringInPediatricPatients,Discussion,7443476
DravetSyndrome,hasGeneticCause,SCN1A,Introduction,9292928
SCN1A,encodes,NaV1.1Channel,Introduction,9292928
DravetSyndrome,hasModel,Scn1a+/-Mouse,Introduction,9292928
DravetSyndrome,hasSeizureType,FebrileSeizure,Introduction,9292928
DravetSyndrome,hasComorbidity,SUDEP,Introduction,9292928
Cannabis,contains,Phytocannabinoids,Introduction,9292928
Cannabis,contains,CannabigerolicAcid,Introduction,9292928
CannabigerolicAcid,isPrecursorOf,Cannabidiol,Introduction,9292928
CannabigerolicAcid,isPrecursorOf,Delta9THC,Introduction,9292928
Phytocannabinoids,havePotentialRoleIn,EpilepsyTreatment,Introduction,9292928
Scn1a+/-Mouse,modelsDisease,DravetSyndrome,Methods,9292928
Scn1a+/-Mouse,hasPhenotype,SpontaneousSeizure,Methods,9292928
Scn1a+/-Mouse,hasPhenotype,PrematureDeath,Methods,9292928
CannabigerolicAcid,administeredVia,IntraperitonealInjection,Methods,9292928
CannabigerolicAcid,administeredVia,DietarySupplementation,Methods,9292928
CannabigerolicAcid,testedIn,HyperthermiaInducedSeizureModel,Methods,9292928
CannabigerolicAcid,testedIn,MaximalElectroshockModel,Methods,9292928
CannabigerolicAcid,testedIn,6HzSeizureModel,Methods,9292928
CannabigerolicAcid,testedInCombinationWith,Clobazam,Methods,9292928
CannabigerolicAcid,hasAnticonvulsantEffectOn,HyperthermiaInducedSeizures,Results,9292928
CannabigerolicAcid,hasProconvulsantEffectOn,6HzThresholdTest,Results,9292928
CannabigerolicAcid,increases,SpontaneousSeizureFrequency,Results,9292928
CannabigerolicAcid,hasNoEffectOn,Survival,Results,9292928
CannabigerolicAcid,potentiates,ClobazamAnticonvulsantEffect,Results,9292928
CannabigerolicAcid,increases,ClobazamPlasmaConcentration,Results,9292928
CannabigerolicAcid,reduces,NDesmethylclobazamConcentration,Results,9292928
CannabigerolicAcid,inhibits,GPR55Activation,Results,9292928
CannabigerolicAcid,inhibits,TRPV1ChannelActivity,Results,9292928
CannabigerolicAcid,modulates,GABAAReceptor,Results,9292928
CannabigerolicAcid,hasDualEffect,AnticonvulsantAndProconvulsant,Discussion,9292928
CannabigerolicAcid,isPositiveAllostericModulatorOf,GABAAReceptor,Discussion,9292928
CannabigerolicAcid,isNonCompetitiveAntagonistOf,GPR55,Discussion,9292928
CannabigerolicAcid,inhibits,TRPV1,Discussion,9292928
CannabigerolicAcid,causes,GABAAReceptorDesensitization,Discussion,9292928
GABAAReceptorDesensitization,leadsTo,ProconvulsantEffect,Discussion,9292928
CannabigerolicAcid,hasPharmacologicProperty,LowBrainPenetration,Discussion,9292928
CannabigerolicAcid,hasMechanism,MultimodalActivity,Discussion,9292928
CannabigerolicAcid,hasPotentialLiability,SeizureExacerbation,Discussion,9292928
DravetSyndrome,hasPotentialTreatment,CannabigerolicAcid,Discussion,9292928
DravetSyndrome,hasGeneticCause,SCN1A,Introduction,8725448
SCN1A,encodes,NaV1.1Channel,Introduction,8725448
DravetSyndrome,hasModel,Scn1a+/-Mouse,Introduction,8725448
CannabisSativa,contains,CannabigerolicAcid,Introduction,8725448
CannabisSativa,contains,OlivetolicAcid,Introduction,8725448
CannabigerolicAcid,isPrecursorOf,Phytocannabinoids,Introduction,8725448
OlivetolicAcid,isPrecursorOf,CannabigerolicAcid,Introduction,8725448
CannabigerolicAcid,hasAnticonvulsantEffect,SeizuresInScn1a+/-Mice,Introduction,8725448
CBGAMethylEster,isAnalogOf,CannabigerolicAcid,Introduction,8725448
CBGAMethylEster,hasImprovedProperty,ChemicalStability,Introduction,8725448
Scn1a+/-Mouse,modelsDisease,DravetSyndrome,Methods,8725448
Scn1a+/-Mouse,hasPhenotype,HyperthermiaInducedSeizure,Methods,8725448
CBGAMethylEster,administeredVia,IntraperitonealInjection,Methods,8725448
OlivetolicAcid,administeredVia,IntraperitonealInjection,Methods,8725448
CBGAMethylEster,testedFor,BrainPenetration,Methods,8725448
OlivetolicAcid,testedFor,BrainPenetration,Methods,8725448
CBGAMethylEster,testedFor,GPR55Activity,Methods,8725448
OlivetolicAcid,testedFor,GPR55Activity,Methods,8725448
CBGAMethylEster,testedFor,TTypeCalciumChannelActivity,Methods,8725448
OlivetolicAcid,testedFor,TTypeCalciumChannelActivity,Methods,8725448
CBGAMethylEster,hasBrainPenetration,13Percent,Results,8725448
OlivetolicAcid,hasBrainPenetration,1Percent,Results,8725448
OlivetolicAcid,hasAnticonvulsantEffectOn,HyperthermiaInducedSeizures,Results,8725448
OlivetolicAcid,increases,SeizureTemperatureThreshold,Results,8725448
CBGAMethylEster,hasNoEffectOn,SeizureThreshold,Results,8725448
CBGAMethylEster,hasNoActivityAt,GPR55,Results,8725448
OlivetolicAcid,hasNoActivityAt,GPR55,Results,8725448
CBGAMethylEster,hasNoActivityAt,TTypeCalciumChannels,Results,8725448
OlivetolicAcid,hasNoActivityAt,TTypeCalciumChannels,Results,8725448
OlivetolicAcid,hasComparableEffectTo,Cannabidiol,Results,8725448
CBGAMethylEster,isIneffectiveIn,HyperthermiaInducedSeizures,Discussion,8725448
CBGAMethylEster,hasIncreased,BrainPenetrationComparedToCBGA,Discussion,8725448
OlivetolicAcid,hasModestAnticonvulsantActivity,Scn1a+/-Mouse,Discussion,8725448
OlivetolicAcid,hasNoActivityAt,GPR55AndTTypeCalciumChannels,Discussion,8725448
OlivetolicAcid,mayActThrough,AlternativeTargets,Discussion,8725448
OlivetolicAcid,hasMechanism,UnknownAnticonvulsantEffect,Discussion,8725448
OlivetolicAcid,hasComparableEffectTo,Cannabidiol,Discussion,8725448
CBGAMethylEster,suggestsImportanceOf,CarboxylicAcidMoiety,Discussion,8725448
OlivetolicAcid,hasPotentialTherapeuticTarget,GABAaReceptorAndTRPV1,Discussion,8725448
OlivetolicAcid,requiresFurtherStudyFor,MechanismOfActionAndMetabolites,Discussion,8725448
DravetSyndrome,hasGeneticCause,SCN1A,Introduction,5157719
SCN1A,encodes,NaV1.1Channel,Introduction,5157719
DravetSyndrome,hasPhenotype,DrugResistantEpilepsy,Introduction,5157719
DravetSyndrome,hasComorbidity,CognitiveImpairment,Introduction,5157719
DravetSyndrome,hasComorbidity,DevelopmentalSlowing,Introduction,5157719
DravetSyndrome,hasSeizureType,GeneralizedTonicClonicSeizure,Introduction,5157719
SodiumChannelBlockers,aggravate,SeizuresInDravetSyndrome,Introduction,5157719
Lamotrigine,canCause,SeizureExacerbation,Introduction,5157719
ValproicAcid,isEffectiveFor,DravetSyndrome,Introduction,5157719
Stiripentol,hasEvidenceFrom,RandomizedControlledTrial,Introduction,5157719
Study,conductedAs,ObservationalClinicalAudit,Methods,5157719
DravetSyndrome,diagnosedBy,ClinicalCriteriaAndGeneticTesting,Methods,5157719
SCN1AMutation,detectedIn,12Of13Patients,Methods,5157719
Stiripentol,usedAs,AdjunctiveTherapy,Methods,5157719
Patients,hadConcurrentTreatmentWith,ValproateOrClobazam,Methods,5157719
Effectiveness,measuredBy,ReductionInSeizureFrequency,Methods,5157719
AdverseEffects,recordedAs,ClinicalObservations,Methods,5157719
Stiripentol,reduces,SeizureFrequencyByMoreThan50PercentIn23PercentOfPatients,Results,5157719
Stiripentol,hasResponderRate,23Percent,Results,5157719
Stiripentol,hasRetentionRate,62PercentAfter1Year,Results,5157719
Stiripentol,hasRetentionRate,31PercentAfter5Years,Results,5157719
Stiripentol,reduces,EpisodesOfStatusEpilepticus,Results,5157719
Stiripentol,causes,Anorexia,Results,5157719
Stiripentol,causes,WeightLoss,Results,5157719
Stiripentol,causes,Unsteadiness,Results,5157719
Stiripentol,causes,Tiredness,Results,5157719
Stiripentol,leadsTo,WithdrawalIn23PercentDueToAdverseEffects,Results,5157719
Stiripentol,isEffectiveIn,AdultsWithDravetSyndrome,Discussion,5157719
Stiripentol,hasLowerResponderRateThan,ChildrenWithDravetSyndrome,Discussion,5157719
Stiripentol,isAllostericModulatorOf,GABAAReceptor,Discussion,5157719
Stiripentol,hasPharmacokineticInteractionWith,Clobazam,Discussion,5157719
Stiripentol,inhibits,ClobazamMetabolismViaCYP3A4AndCYP2C19,Discussion,5157719
Clobazam,and,StiripentolActOnSeparateGABAASites,Discussion,5157719
Stiripentol,hasNoInteractionWith,SodiumValproate,Discussion,5157719
Stiripentol,isRecommendedFor,AdultsWithDrugResistantDravetSyndrome,Discussion,5157719
Stiripentol,improves,SeizureControlAndQualityOfLife,Discussion,5157719
DravetSyndrome,requires,BetterTreatmentStrategiesInAdulthood,Discussion,5157719
Stiripentol,hasMechanismOfAction,EnhancesGABAergicInhibition,Introduction,9392664
Stiripentol,inhibits,LactateDehydrogenase,Introduction,9392664
Stiripentol,blocks,SodiumAndCalciumChannels,Introduction,9392664
Stiripentol,isApprovedFor,DravetSyndrome,Introduction,9392664
Stiripentol,usedWith,ClobazamAndValproate,Introduction,9392664
Stiripentol,reduces,ConvulsiveSeizuresAndStatusEpilepticus,Introduction,9392664
Stiripentol,hasAdverseEffect,Anorexia,Introduction,9392664
Stiripentol,hasAdverseEffect,WeightLoss,Introduction,9392664
Stiripentol,hasAdverseEffect,Ataxia,Introduction,9392664
Stiripentol,inhibits,CytochromeP4503A4And2C19,Introduction,9392664
Study,isTypeOf,RetrospectiveCohortStudy,Methods,9392664
Stiripentol,administeredAs,AddOnTherapy,Methods,9392664
PatientCohort,includes,196IndividualsWithDrugResistantEpilepsies,Methods,9392664
Responders,definedAs,FiftyPercentReductionInSeizureFrequency,Methods,9392664
Tolerability,assessedBy,AdverseEventRecording,Methods,9392664
Seizures,classifiedBy,InternationalLeagueAgainstEpilepsyCriteria,Methods,9392664
Stiripentol,hasResponderRate,FiftyThreePercentAtThreeMonths,Results,9392664
Stiripentol,hasResponderRate,TwentyNinePercentAtTwelveMonths,Results,9392664
Stiripentol,hasResponderRate,TwentyTwoPercentAtTwentyFourMonths,Results,9392664
DravetSyndrome,hasResponderRate,SixtyFourPercentAtFortyEightMonths,Results,9392664
OtherGeneticEpilepsies,hasResponderRate,ThirteenPercent,Results,9392664
UnknownAetiology,hasResponderRate,ThirtyEightPercent,Results,9392664
Stiripentol,improves,SeizureControlInGeneralisedEpilepsy,Results,9392664
Stiripentol,hasRetentionRate,FiftyThreePercentAtTwelveMonths,Results,9392664
Stiripentol,hasRetentionRate,ThirtyThreePercentAtTwentyFourMonths,Results,9392664
Stiripentol,hasHigherEfficacyWhenInitiatedAt,EarlyChildhoodOrAdulthood,Results,9392664
Stiripentol,associatedWith,ValproateResponseEnhancement,Results,9392664
Stiripentol,causes,NeurologicalAdverseEffects,Results,9392664
Stiripentol,causes,GastrointestinalAdverseEffects,Results,9392664
Stiripentol,hasNoSeriousAdverseEvents,Observed,Results,9392664
Stiripentol,isEffectiveIn,DravetSyndromeAndOtherEpilepsies,Discussion,9392664
Stiripentol,hasHigherEfficacyIn,GeneralisedAndCombinedEpilepsies,Discussion,9392664
DravetSyndrome,hasHighestResponderRateAmong,AllAetiologies,Discussion,9392664
Stiripentol,shows,SustainedLongTermResponse,Discussion,9392664
Stiripentol,hasNoDoseEffectRelationship,Observed,Discussion,9392664
Stiripentol,isAllostericModulatorOf,GABAAReceptor,Discussion,9392664
Stiripentol,isEffectiveWithout,ClobazamAdjunct,Discussion,9392664
Stiripentol,hasLowSideEffectRate,InLongTermTreatment,Discussion,9392664
Stiripentol,isEffectiveWhenInitiatedIn,Adulthood,Discussion,9392664
Stiripentol,hasPotentialTherapeuticEffectIn,OtherGeneticEpilepticEncephalopathies,Discussion,9392664
Stiripentol,isWellToleratedIn,ChildrenAndAdults,Conclusion,9392664
Stiripentol,effectiveBeyond,DravetSyndrome,Conclusion,9392664
Stiripentol,hasSustainedResponseOverTime,AcrossAetiologies,Conclusion,9392664
Stiripentol,recommendedFor,DrugResistantEpilepsy,Conclusion,9392664
Stiripentol,moreEffectiveWhenInitiatedAt,EarlyAge,Conclusion,9392664
DravetSyndrome,hasGeneticCause,SCN1A,Introduction,3891590
SCN1A,encodes,NaV1.1Channel,Introduction,3891590
DravetSyndrome,hasModel,Scn1LabMutantZebrafish,Introduction,3891590
Scn1Lab,isOrthologOf,SCN1A,Introduction,3891590
Scn1LabMutantZebrafish,exhibits,SpontaneousElectrographicSeizures,Introduction,3891590
Scn1LabMutantZebrafish,exhibits,ConvulsiveBehavior,Introduction,3891590
Scn1LabExpression,isReducedIn,MutantLarvae,Introduction,3891590
DravetSyndrome,isCharacterizedBy,DrugResistantSeizures,Introduction,3891590
Clemizole,identifiedAs,PotentialTherapeuticForDravetSyndrome,Introduction,3891590
ZebrafishModel,enables,HighThroughputDrugScreening,Introduction,3891590
Scn1LabMutantZebrafish,hasMutation,MethionineToArginine,Methods,3891590
Scn1Lab,expressedIn,CentralNervousSystem,Methods,3891590
Scn1LabMutantZebrafish,shows,ReducedScn1LabExpression,Methods,3891590
Scn1LabMutantZebrafish,shows,NoCompensatoryChangeInOtherScnGenes,Methods,3891590
MicroarrayAnalysis,detects,DifferentialGeneExpressionInScn1LabMutants,Methods,3891590
Scn1LabMutantZebrafish,testedWith,AntiepilepticDrugs,Methods,3891590
LocomotionTrackingAssay,usedFor,SeizureQuantification,Methods,3891590
ForebrainFieldRecording,usedFor,ElectrographicSeizureDetection,Methods,3891590
HighThroughputScreen,performedWith,320FDAApprovedCompounds,Methods,3891590
DrugEfficacy,assessedBy,ReductionInConvulsiveBehavior,Methods,3891590
Scn1LabMutantZebrafish,shows,SpontaneousSeizuresStartingAt3dpf,Results,3891590
Scn1LabMutantZebrafish,shows,HyperactivityAndConvulsiveBehavior,Results,3891590
Scn1LabMutantZebrafish,shows,ReducedScn1LabmRNA,Results,3891590
MicroarrayAnalysis,shows,2.5PercentGenesDifferentiallyExpressed,Results,3891590
Scn1LabMutantZebrafish,has,NoCompensationByScn8aOrScn8b,Results,3891590
Valproate,reduces,EpileptiformActivity,Results,3891590
Diazepam,reduces,EpileptiformActivity,Results,3891590
PotassiumBromide,reduces,EpileptiformActivity,Results,3891590
Stiripentol,reduces,EpileptiformActivity,Results,3891590
Carbamazepine,increases,SeizureFrequency,Results,3891590
Ethosuximide,increases,SeizureFrequency,Results,3891590
Vigabatrin,increases,SeizureFrequency,Results,3891590
KetogenicDiet,reduces,SeizureLikeBehavior,Results,3891590
Clemizole,inhibits,SpontaneousSeizureActivity,Results,3891590
Clemizole,reduces,ElectrographicSeizures,Results,3891590
Clemizole,effectiveIn,PTZInducedSeizureModel,Results,3891590
Scn1LabMutantZebrafish,recapitulates,KeyFeaturesOfDravetSyndrome,Discussion,3891590
Scn1LabMutantZebrafish,has,PharmacologicalProfileSimilarToHumanDS,Discussion,3891590
Clemizole,actsAs,AntihistamineAndNS4BRNABindingInhibitor,Discussion,3891590
Clemizole,emergesAs,LeadCompoundForDravetSyndrome,Discussion,3891590
Clemizole,requiresFurtherStudyFor,MechanismOfAction,Discussion,3891590
ZebrafishModel,supports,GeneticallyInformedDrugDiscovery,Discussion,3891590
ZebrafishScreeningPlatform,enables,RapidInVivoEvaluationOfAntiepilepticDrugs,Discussion,3891590
HighThroughputScreening,identified,ClemizoleAsEffectiveDrug,Discussion,3891590
Scn1LabMutantZebrafish,usefulFor,PersonalizedEpilepsyDrugDiscovery,Discussion,3891590
Clemizole,represents,PromisingTherapeuticForDravetSyndrome,Discussion,3891590
Epilepsy,hasSubtype,RareEpilepsy,Introduction,7918306
RareEpilepsy,hasSubtype,DravetSyndrome,Introduction,7918306
RareEpilepsy,hasSubtype,TuberousSclerosisComplex,Introduction,7918306
RareEpilepsy,hasSubtype,AutoimmuneEncephalitis,Introduction,7918306
RareEpilepsy,hasSubtype,UnverrichtLundborgDisease,Introduction,7918306
RareEpilepsy,hasSubtype,UnverrichtLikeDisease,Introduction,7918306
DravetSyndrome,hasGeneticCause,SCN1A,Introduction,7918306
TuberousSclerosisComplex,hasGeneticCause,TSC1OrTSC2,Introduction,7918306
AutoimmuneEncephalitis,hasAssociatedAntibody,LGI1,Introduction,7918306
AutoimmuneEncephalitis,hasAssociatedAntibody,NMDAReceptor,Introduction,7918306
EpiCARE,conducted,WebBasedSurveyOnRareEpilepsies,Methods,7918306
Survey,included,FiveRareEpilepsies,Methods,7918306
Survey,collected,ClinicalPracticeAndCohortInformation,Methods,7918306
Survey,analyzed,AntiseizureDrugRegimens,Methods,7918306
Survey,evaluated,ComorbidityScreeningAndTreatmentProtocols,Methods,7918306
EpiCARECenters,reportedCohortsFor,DravetSyndrome,Results,7918306
EpiCARECenters,reportedCohortsFor,TuberousSclerosisComplex,Results,7918306
EpiCARECenters,reportedCohortsFor,AutoimmuneEncephalitis,Results,7918306
EpiCARECenters,reportedCohortsFor,UnverrichtLundborgDisease,Results,7918306
DravetSyndrome,firstLineTreatment,Valproate,Results,7918306
DravetSyndrome,secondLineTreatment,Clobazam,Results,7918306
DravetSyndrome,thirdLineTreatment,Stiripentol,Results,7918306
TuberousSclerosisComplex,hasTargetedTherapy,Everolimus,Results,7918306
AutoimmuneEncephalitis,firstLineImmunotherapy,Corticosteroids,Results,7918306
AutoimmuneEncephalitis,secondLineImmunotherapy,IVIG,Results,7918306
AutoimmuneEncephalitis,thirdLineImmunotherapy,Plasmapheresis,Results,7918306
AutoimmuneEncephalitis,fourthLineImmunotherapy,Rituximab,Results,7918306
UnverrichtLundborgDisease,firstLineTreatment,Valproate,Results,7918306
UnverrichtLundborgDisease,secondLineTreatment,Levetiracetam,Results,7918306
UnverrichtLikeDisease,firstLineTreatment,Valproate,Results,7918306
UnverrichtLikeDisease,secondLineTreatment,Levetiracetam,Results,7918306
TuberousSclerosisComplex,infantileSpasmsTreatment,Vigabatrin,Results,7918306
EpiCARECenters,useTherapeuticDrugMonitoringFor,RareEpilepsies,Results,7918306
EpiCARECenters,screenFor,Comorbidities,Results,7918306
DravetSyndrome,avoidsDrugClass,SodiumChannelBlockers,Discussion,7918306
Stiripentol,isApprovedFor,AdjunctiveTherapyInDravetSyndrome,Discussion,7918306
Everolimus,actsOn,MTORPathway,Discussion,7918306
AutoimmuneEncephalitis,treatedWith,CorticosteroidsAndRituximab,Discussion,7918306
UnverrichtLundborgDisease,contraindicatedDrug,Carbamazepine,Discussion,7918306
EpiCARENetwork,supports,ClinicalTrialsForRareEpilepsies,Discussion,7918306
EpiCARENetwork,identifiesNeedFor,ComorbidityTreatmentProtocols,Discussion,7918306
EpiCARECenters,demonstrate,ConsistencyInPharmacotherapy,Discussion,7918306
EpiCARECenters,highlight,NeedForControlledTrials,Discussion,7918306
EpiCARESurvey,shows,ConsistencyAndHeterogeneityInTreatment,Conclusion,7918306
RareEpilepsies,require,EvidenceBasedGuidelines,Conclusion,7918306
EpiCARENetwork,enables,CollaborationForClinicalTrials,Conclusion,7918306
EpiCARESurvey,reveals,NeedForComorbidityManagement,Conclusion,7918306
